x_svdd_0,x_db_0,x_iso_0,x_pca_0,x_pca_1,x_pca_2,x_pca_3,x_pca_4,x_svd_0,x_svd_1,x_svd_2,x_svd_3,x_svd_4,x_lof_0,x_tsne_0,x_tsne_1,x_tsne_2
1,-1,1,-0.6868666908517542,-0.8114087647701457,-0.41010213765372255,-0.043960044039347085,-0.41330975289705085,-0.6868657137167676,-0.811394523008083,-0.41009088304021396,-0.04264795789805598,-0.41686894942830155,1,-1.4969159,1.3671805,-23.99081
-1,-1,1,-0.657538757588611,-0.44495069964492284,-0.35612076017796185,0.11963243668663245,-0.4676111382448389,-0.657538472220308,-0.44492264414274496,-0.3559219275650105,0.1211775916584508,-0.4693829867742289,-1,-4.168827,2.6553574,-20.939829
-1,-1,1,-0.6363320381148856,-1.2767981607676235,-1.0104482938031762,-0.28582203181737326,-0.5993419539776822,-0.6363304577039234,-1.2767744761649273,-1.010441526633392,-0.2840120681300552,-0.6047623211387863,1,1.1213074,2.8315527,-25.39673
-1,-1,1,-0.582869406971055,-2.035814883046725,-0.831341499815157,0.1705093284075874,0.9537046685313466,-0.5828669541224903,-2.0358241358154507,-0.8317354635189339,0.17139182290462632,0.9485961020079497,-1,-6.228264,-3.0399687,-34.166313
-1,-1,1,-0.8506042829497228,-1.8200714876832311,-0.3203383675628397,0.0004096601439687736,0.015127881812038967,-0.8506028970539656,-1.8200510723566954,-0.32033702881162135,0.002197626619464904,0.012070384383943804,-1,-6.2271676,-3.0389059,-34.164886
-1,-1,1,-0.6926703529887395,-0.6815119866538156,-0.11978127507298336,0.33068258034515796,1.373061015268782,-0.6926685219332192,-0.6814872348141575,-0.11951882496275879,0.332638029555129,1.3531679865847306,1,-10.286186,-15.5207405,18.252533
1,-1,1,-0.5849503139761839,-0.7907483442356488,-0.3882628235709794,0.014674026577992171,0.8961725571680161,-0.5849494027720834,-0.7907571936244877,-0.3882796311805471,0.015079503790113604,0.8864937989294212,1,-7.0051103,-15.877386,5.5029154
-1,-1,1,-0.31491252599607866,-1.240389681442226,-0.9510268761313223,0.1373354095788875,-0.37983976758013677,-0.314912485411327,-1.2404079675665232,-0.9511884310827546,0.13711914955975488,-0.37751065894893493,1,-2.9681149,-4.133584,-28.206055
-1,-1,1,-0.4431463496889777,-1.0892940527471953,-0.5988959125937062,0.12763358432091507,-0.09860790772644767,-0.4431467490495697,-1.089287309062813,-0.5989317817580481,0.1280624562243043,-0.0949946400265715,1,-2.495842,6.962794,-20.008041
1,-1,1,-0.564032374651564,-0.9161843687650446,-0.6073614976323007,-0.12261661771619081,-0.6331329944357315,-0.5640313346156188,-0.9161490270450799,-0.6071911669725796,-0.12060196121757494,-0.6397441466756633,1,-0.02250351,2.951604,-25.815605
1,-1,1,-0.6821314050512282,-1.0799676003167977,-0.5938433832854237,-0.2556024230240016,-0.8200889600514863,-0.6821306218138357,-1.0799563442648876,-0.5938025396460929,-0.2544709838737671,-0.8207589498900429,1,-4.678127,1.901033,-26.673649
-1,-1,1,-0.7959639842310277,-1.465186033913925,-0.23885818345578774,-0.3307888562973024,-0.7064832772015175,-0.795962497884522,-1.46517229850069,-0.23890658203733114,-0.3294245409243031,-0.7121223573109995,1,4.2944503,-1.502572,-21.306232
1,-1,1,-0.9614189302498986,-1.1263604350223522,-0.029850175840175974,-0.2105454054126867,-0.7580159270816585,-0.9614180230692528,-1.126346361634783,-0.0298551641309825,-0.20924173262423465,-0.7603697681799243,1,-0.82242644,2.454875,-25.264717
-1,-1,1,-0.8424870517929673,-1.3719697717668333,-0.4514743645423677,-0.24707805153230683,-0.7421338960960481,-0.8424857900480296,-1.3719740923299677,-0.4517369860748505,-0.24646936807950465,-0.7435051755327863,1,2.9008458,-1.1683228,-21.455124
-1,-1,1,-0.4340974020116682,-1.540015740710107,-0.8396258666261983,-0.0838894505105409,-2.333154949980483,-0.4340970563086048,-1.5400154846658132,-0.8397551434335879,-0.08350260033419786,-2.3339814826749423,1,3.4806366,-0.11233564,-21.971745
-1,-1,1,-0.7313231304799775,-1.4805736456194345,-0.34752159771200336,0.12724655959204506,-1.0968612274678886,-0.7313222133110124,-1.4805606057275764,-0.34758623475371087,0.12840210440196914,-1.102569585749389,1,3.470825,-0.08807089,-22.097174
1,-1,1,-0.7519100563559394,-0.7806010447241034,-0.2353811101646933,0.41984369812256767,-0.3305488109704106,-0.7519098334409123,-0.7805791113185069,-0.2351779300378291,0.4212231009762506,-0.3328188800513657,1,-5.651614,-0.54952955,-25.326872
1,-1,1,-0.9538586070427972,-1.1407851433801681,-0.09279193980161417,-0.2627976158917513,0.06302319827724187,-0.953858527502164,-1.1407844870780448,-0.0927747956445344,-0.2623230158390036,0.06384478753344154,1,-3.4433672,0.08865223,-26.691502
1,-1,1,-0.7002042147422438,-0.7448690292083494,-0.24797411201692257,0.23742788431839976,-0.20250252816927333,-0.7002031558191364,-0.7448466425843636,-0.24780045227838815,0.2390788951310928,-0.20919629371686138,1,-3.046674,2.3063316,-23.68107
1,-1,1,-0.8151869561590155,-0.7777591945291463,-0.1302583169350513,-0.09606862636765486,0.2299469914282138,-0.815185742071125,-0.777743360139038,-0.1301662245114644,-0.09460904105810095,0.22137318708034365,1,-4.168875,-1.9561803,-21.099077
-1,-1,1,-0.6403087337484669,-0.8031995740295828,-0.4417513574387826,-0.17176473467055597,-0.20764406658866907,-0.6403075583318517,-0.8031809389593408,-0.44184146720362194,-0.17025119140363376,-0.20987067957622213,1,-11.135607,-29.266296,-3.0587924
-1,-1,1,-0.9031818355818388,-0.6620392616868548,0.2829268290416443,-0.13598957237302128,-0.08615029297386056,-0.9031810000995651,-0.6620072770617668,0.2830826325366673,-0.13411880830880835,-0.09218220695269327,1,-5.0140905,5.590531,-21.835129
-1,-1,1,-0.8681786303718689,0.11570133054394795,0.26029292477113875,-0.404629819192516,-0.656703291959854,-0.8681776932160291,0.11571825134763773,0.26034844873619567,-0.40328907889643795,-0.6610999807100939,1,-1.3186829,2.912216,-22.78506
