xgb_y_prob,xgb_ylead1_prob,xgb_yblead2_prob
-0.008476794,-0.0062232018,-0.0038659573
-0.008476794,-0.0045362115,-0.0038659573
-0.0007929802,0.05938089,-0.00091451406
0.104489625,0.09901786,0.009625584
0.104489625,0.105027705,-0.009735882
-0.0008496642,-0.004757762,-0.00091451406
-0.0008496642,-0.0036746264,0.009625584
-0.0008496642,0.0019773245,0.009625584
-0.0008496642,0.002363056,-0.00091451406
-0.0008496642,-0.004322648,-0.00091451406
-0.0008496642,-0.003802836,-0.00091451406
-0.0008496642,-0.0058781505,-0.00091451406
-0.0008496642,-0.0088608265,-0.00091451406
-0.0008496642,-0.0017777085,0.006396055
0.014339536,-0.0015972853,-0.00091451406
0.0024915338,-0.0016867518,-0.00091451406
0.0035047233,0.0008379817,-0.00091451406
0.0023792982,0.0006107092,-0.00091451406
-0.0008496642,-0.0021688342,-0.00091451406
-0.0008496642,-0.001544416,-0.00091451406
-0.0008496642,8.9645386e-05,-0.00091451406
-0.0008496642,0.0006186664,-0.00091451406
-0.0008496642,0.0044208765,0.007301271
-0.0008496642,-0.0018666983,-0.00091451406
-0.0008496642,-0.004753113,-0.00091451406
-0.012888789,-0.00894475,-0.00091451406
-0.008554041,-0.02568686,-0.00091451406
-0.0018335581,-0.011414111,-0.00091451406
-0.0008496642,-0.0037936568,-0.00091451406
-0.0008496642,0.0050575435,-0.00091451406
-0.0008496642,0.004390061,-0.00091451406
-0.0008496642,0.005927205,-0.00091451406
-0.0008496642,0.005029857,-0.00091451406
-0.0008496642,-0.0031449795,-0.00091451406
-0.0008496642,0.0052959025,-0.00091451406
-0.0008496642,-0.0033785105,-0.00091451406
-0.0008496642,-0.00084996223,-0.00091451406
0.008545637,0.0005338192,-0.00091451406
-0.00045716763,0.00467664,-0.00091451406
-0.0018335581,0.0035167634,-0.00091451406
-0.0008496642,-0.0041025877,0.006396055
-0.0018335581,-0.0027600527,-0.00091451406
-0.0008496642,0.00024145842,-0.00091451406
-0.0008496642,-0.0034179091,-0.00091451406
-0.0008496642,0.0065537095,-0.00091451406
-0.0008496642,0.0018231571,-0.00091451406
-0.0008496642,-0.0024481416,-0.00091451406
-0.0008496642,-0.0016796589,-0.00091451406
-0.0008496642,-0.001998067,-0.00091451406
-0.0008496642,-0.00131917,-0.00091451406
-0.0008496642,-0.001550138,-0.00091451406
-0.0008496642,-0.0017802119,-0.00091451406
-0.0008496642,-0.0056349635,-0.00091451406
-0.0008496642,-0.0022432804,-0.00091451406
-0.0008496642,-0.0018558502,0.006396055
-0.0008496642,-0.004800439,-0.00091451406
-0.0008496642,0.001408279,-0.00091451406
-0.0008496642,-0.004910946,-0.00091451406
-0.0008496642,-0.00027614832,-0.00091451406
0.008063227,-0.0042920113,-0.00091451406
-0.001334846,-0.008112669,-0.00091451406
-0.0008496642,-0.0026046038,-0.00091451406
-0.0008496642,0.0037238896,-0.00091451406
-0.0008496642,-0.0015111566,0.006396055
-0.0008496642,-0.0018789172,-0.00091451406
-0.0008496642,0.00052782893,-0.00091451406
-0.0018335581,-0.002075851,-0.00091451406
-0.0018335581,0.0009313822,-0.00091451406
-0.0008496642,0.0026175976,-0.00091451406
-0.0008496642,0.0035504699,-0.00091451406
-0.0008496642,-0.0034654737,-0.00091451406
-0.0008496642,0.0031362176,-0.00091451406
-0.0008496642,0.009438753,0.007301271
-0.0008496642,0.008409619,-0.00091451406
-0.0008496642,0.007715106,-0.00091451406
-0.0008496642,0.007964432,-0.00091451406
-0.0008496642,0.007964432,-0.00091451406
-0.0008496642,0.008988321,0.006396055
-0.0008496642,0.009041637,-0.00091451406
-0.0008496642,0.010957152,-0.00091451406
-0.0008496642,-0.0009897947,-0.00091451406
-0.0008496642,0.00066128373,-0.00091451406
-0.005813241,0.1499303,-0.00091451406
-0.00045716763,0.0010264516,-0.00091451406
-0.0008496642,-0.0012683272,-0.00091451406
-0.0008496642,0.0016402602,-0.00091451406
-0.0008496642,-0.0008928776,-0.00091451406
-0.0008496642,0.0023170114,-0.00091451406
-0.0008496642,-0.0017135143,-0.00091451406
-0.0018335581,0.00240767,-0.00091451406
-0.0008496642,0.00240767,-0.00091451406
-0.0008496642,0.0136042535,0.006396055
-0.0008496642,0.007202506,-0.00091451406
-0.0008496642,-0.003130138,-0.00091451406
-0.0008496642,-0.0047739744,-0.00091451406
-0.0008496642,0.001954198,-0.00091451406
-0.0008496642,0.0037863255,-0.00091451406
-0.0008496642,-0.0007442832,-0.00091451406
-0.0008496642,-0.00037395954,-0.00091451406
-0.0008496642,0.0029206276,-0.00091451406
-0.0008496642,-0.0029463768,0.006396055
-0.0008496642,0.003301978,-0.00091451406
-0.002612412,0.0074124634,-0.00091451406
0.0021181703,0.010838509,-0.00091451406
0.0021181703,0.0075932145,-0.00091451406
0.018021584,0.01567784,-0.00091451406
0.009311199,0.025388181,-0.00091451406
-0.0018335581,0.0038739443,-0.00091451406
-0.0008496642,0.0032580793,-0.00091451406
-0.0008496642,-0.0012933016,0.006396055
-0.0008496642,0.00087171793,-0.00091451406
-0.0008496642,0.0013558269,-0.00091451406
-0.0008496642,0.0023303628,-0.00091451406
-0.0008496642,0.0012891889,-0.00091451406
-0.0008496642,0.0026763082,0.006396055
-0.0008496642,0.0021992922,-0.00091451406
-0.0008496642,-0.0043937564,-0.00091451406
-0.0018335581,-0.0057279468,-0.00091451406
-0.0008496642,-0.0056335926,0.015653998
-0.0008496642,0.0064912736,-0.00091451406
-0.0008496642,-0.0058244467,-0.00091451406
-0.0008496642,0.001452297,-0.00091451406
-0.0008496642,-0.0003092885,-0.00091451406
0.0012293458,0.006314814,-0.00091451406
-0.0008496642,0.0014302433,-0.00091451406
0.0012293458,0.0023201108,-0.00091451406
0.0012293458,0.0050418377,-0.00091451406
-0.0017411709,-0.0016553998,-0.00091451406
-0.00045716763,0.0010202527,-0.00091451406
-0.0019840598,0.0010567605,-0.00091451406
-0.0019840598,-0.00018620491,-0.00091451406
-0.0008496642,0.001974374,0.006396055
-0.0008496642,-0.00011271238,-0.00091451406
-0.0008496642,0.0011991858,-0.00091451406
-0.0008496642,0.0037102401,-0.00091451406
-0.0008496642,0.002471298,-0.00091451406
-0.0008496642,-0.00014930964,0.006396055
-0.0008496642,0.0028904676,-0.00091451406
-0.0008496642,0.0011635721,-0.00091451406
-0.0008496642,0.00017347932,-0.00091451406
-0.0008496642,0.0044466853,0.014408857
-0.0008496642,-0.0046952963,-0.00091451406
0.00024557114,-0.003619969,-0.00091451406
-0.0008496642,-0.0015258789,-0.00091451406
-0.0018335581,0.0059963167,-0.00091451406
0.0012293458,-0.00053840876,0.006396055
-0.0018335581,-0.0011079311,-0.00091451406
0.0012293458,-0.002716899,-0.00091451406
0.0012293458,-0.0016568899,-0.00091451406
0.00024557114,0.0007376373,-0.00091451406
0.006896198,0.012977183,-0.00091451406
-0.00045716763,0.0032079518,-0.00091451406
-0.0008496642,-0.0043004155,-0.00091451406
-0.0008496642,0.0011526048,-0.00091451406
-0.0008496642,-0.002368033,0.006396055
-0.0008496642,-0.0015648603,-0.07839364
-0.0018335581,0.004451573,-0.00091451406
-0.0016285181,0.009943724,-0.00091451406
-0.0016285181,0.010401785,-0.012229502
-0.0016285181,0.012088269,0.00403589
-0.0016285181,0.0047386587,0.00403589
-0.0016285181,0.006829977,0.00403589
-0.002612412,0.005180329,0.00403589
0.0109087825,0.002151072,0.011346936
0.03322044,0.010087639,-0.07391983
0.03322044,-0.0009499788,-0.00091451406
0.03322044,-0.008452594,-0.00091451406
0.011687636,-0.012532175,0.007301271
-0.0008496642,0.01333648,-0.00091451406
