xgb_y_prob,xgb_ylead1_prob,xgb_ylead2_prob
-0.008476794,-0.0062232018,0.10424423
-0.008476794,-0.0045362115,-0.0010766387
-0.0007929802,0.05938089,0.019684464
0.104489625,0.09901786,-0.012474954
0.104489625,0.105027705,-0.023732841
-0.0008496642,-0.004757762,0.006525576
-0.0008496642,-0.0036746264,0.004793912
-0.0008496642,0.0019773245,0.0025782287
-0.0008496642,0.002363056,0.0050348043
-0.0008496642,-0.004322648,0.009231478
-0.0008496642,-0.003802836,0.0043889284
-0.0008496642,-0.0058781505,0.002254665
-0.0008496642,-0.0088608265,0.00025689602
-0.0008496642,-0.0017777085,0.007565707
0.014339536,-0.0015972853,0.014190435
0.0024915338,-0.0016867518,0.002960205
0.0035047233,0.0008379817,9.5546246e-05
0.0023792982,0.0006107092,0.001259923
-0.0008496642,-0.0021688342,-0.0011405349
-0.0008496642,-0.001544416,-0.0014050007
-0.0008496642,8.9645386e-05,0.01907134
-0.0008496642,0.0006186664,0.026572645
-0.0008496642,0.0044208765,0.00866431
-0.0008496642,-0.0018666983,-0.0018602014
-0.0008496642,-0.004753113,-0.0038957
-0.012888789,-0.00894475,-0.008142352
-0.008554041,-0.02568686,-0.020671904
-0.0018335581,-0.011414111,-2.2053719e-05
-0.0008496642,-0.0037936568,0.00039327145
-0.0008496642,0.0050575435,0.0022380352
-0.0008496642,0.004390061,0.0012295842
-0.0008496642,0.005927205,-0.00096076727
-0.0008496642,0.005029857,-0.004494369
-0.0008496642,-0.0031449795,-0.004045725
-0.0008496642,0.0052959025,0.0025174022
-0.0008496642,-0.0033785105,0.004611075
-0.0008496642,-0.00084996223,0.0033513904
0.008545637,0.0005338192,-0.0014696717
-0.00045716763,0.00467664,-0.0007236004
-0.0018335581,0.0035167634,0.003594339
-0.0008496642,-0.0041025877,-0.0008894801
-0.0018335581,-0.0027600527,0.000111192465
-0.0008496642,0.00024145842,0.0029432774
-0.0008496642,-0.0034179091,0.002685666
-0.0008496642,0.0065537095,0.0020835698
-0.0008496642,0.0018231571,0.0025454462
-0.0008496642,-0.0024481416,7.7068806e-05
-0.0008496642,-0.0016796589,0.0016936064
-0.0008496642,-0.001998067,-0.002226293
-0.0008496642,-0.00131917,-0.0006645322
-0.0008496642,-0.001550138,-0.003766179
-0.0008496642,-0.0017802119,-0.0043166876
-0.0008496642,-0.0056349635,-6.556511e-05
-0.0008496642,-0.0022432804,0.001916647
-0.0008496642,-0.0018558502,0.0005750358
-0.0008496642,-0.004800439,-5.2690506e-05
-0.0008496642,0.001408279,-0.00442034
-0.0008496642,-0.004910946,-0.003195405
-0.0008496642,-0.00027614832,0.0003809631
0.008063227,-0.0042920113,-0.00434047
-0.001334846,-0.008112669,-0.0043765903
-0.0008496642,-0.0026046038,-0.004662931
-0.0008496642,0.0037238896,-0.0019503236
-0.0008496642,-0.0015111566,-0.0048128366
-0.0008496642,-0.0018789172,0.00067025423
-0.0008496642,0.00052782893,0.000734359
-0.0018335581,-0.002075851,-0.0033834577
-0.0018335581,0.0009313822,0.009567201
-0.0008496642,0.0026175976,-0.00023764372
-0.0008496642,0.0035504699,-0.0016098022
-0.0008496642,-0.0034654737,-0.004146874
-0.0008496642,0.0031362176,0.0014791191
-0.0008496642,0.009438753,0.0010903776
-0.0008496642,0.008409619,-0.0037587285
-0.0008496642,0.007715106,0.000788033
-0.0008496642,0.007964432,0.0032328367
-0.0008496642,0.007964432,-0.0021796227
-0.0008496642,0.008988321,0.023397028
